word,meaning,synonym1,synonym2,antonym1,antonym2,example_sentence
tractable,easy to control or influence,manageable,obedient,stubborn,unruly,The tractable horse was easy to train.
tranquility,the quality or state of being tranquil,calm,peace,chaos,turbulence,The tranquility of the lake was soothing.
tranquillity,the quality or state of being tranquil,calm,peace,chaos,turbulence,The tranquillity of the garden helped her relax.
transcendent,beyond or above the range of normal experience,superior,supreme,ordinary,mundane,The transcendent beauty of the sunset took her breath away.
transient,lasting only for a short time,temporary,brief,permanent,lasting,The transient happiness soon faded.
transparent,allowing light to pass through so objects can be seen,clear,see-through,opaque,cloudy,The transparent glass allowed them to see inside.
treacherous,guilty of or involving betrayal,traitorous,disloyal,loyal,faithful,The treacherous soldier betrayed his country.
treachery,betrayal of trust,betrayal,disloyalty,loyalty,faithfulness,His treachery shocked everyone who trusted him.
trepidation,a feeling of fear or anxiety,fear,anxiety,confidence,calm,She approached the exam with trepidation.
trifling,unimportant or trivial,trivial,insignificant,important,significant,The trifling matter was not worth arguing about.
turbulence,violent or unsteady movement,instability,chaos,calm,stability,The plane experienced turbulence during the flight.
turmoil,a state of great disturbance,chaos,confusion,order,calm,The country was in turmoil after the revolution.
tyranny,cruel and oppressive government or rule,oppression,dictatorship,democracy,freedom,The people rebelled against the tyranny of the ruler.
ubiquitous,"present, appearing, or found everywhere",everywhere,omnipresent,rare,scarce,Mobile phones have become ubiquitous in modern society.
ultimatum,a final demand or statement of terms,demand,final offer,suggestion,request,The boss gave him an ultimatum: improve or be fired.
unanimous,fully in agreement,agreed,unified,divided,disagreed,The decision was unanimous among all members.
uncanny,strange or mysterious,strange,eerie,normal,ordinary,There was an uncanny resemblance between the two strangers.
uncaring,not displaying sympathy or concern,indifferent,callous,caring,compassionate,His uncaring attitude towards the homeless was shocking.
undermine,to lessen the effectiveness of something,weaken,sabotage,strengthen,support,The constant criticism began to undermine her confidence.
unforgiving,not willing to forgive,merciless,harsh,forgiving,merciful,The unforgiving teacher never accepted late work.
unfurl,to make or become spread out,unfold,open,fold,close,The flag began to unfurl in the wind.
uniformity,the quality or state of being uniform,consistency,sameness,variety,diversity,The uniformity of the buildings made the street look dull.
universal,affecting or done by all people or things,worldwide,global,local,specific,The desire for happiness is universal.
unkempt,having an untidy or dishevelled appearance,untidy,dishevelled,neat,tidy,His unkempt hair suggested he had just woken up.
unprecedented,never done or known before,unprecedented,unheard of,common,usual,The unprecedented heatwave broke all records.
unpretentious,not attempting to impress others,modest,humble,pretentious,showy,"Despite his wealth, he remained unpretentious and friendly."
unrequited,not returned or rewarded,unreturned,one-sided,returned,reciprocated,She suffered from unrequited love for years.
unscrupulous,having or showing no moral principles,unprincipled,dishonest,scrupulous,honest,The unscrupulous businessman cheated his customers.
untoward,unexpected and inappropriate,inappropriate,unfortunate,appropriate,fortunate,Nothing untoward happened during the journey.
unwarranted,not justified or authorised,unjustified,unnecessary,justified,necessary,His unwarranted criticism hurt her feelings.
unwitting,not aware of the full facts,unaware,unknowing,aware,knowing,She was an unwitting participant in the scheme.
unworthy,not deserving,undeserving,unfit,worthy,deserving,He felt unworthy of the honour bestowed upon him.
usurp,to take a position of power illegally,seize,take over,relinquish,give up,The general tried to usurp the throne from the king.
utopian,modelled on or aiming for a state in which everything is perfect,idealistic,perfect,realistic,practical,His utopian vision of society seemed impossible to achieve.
vacillate,to waver between different opinions,waver,hesitate,decide,resolve,He continued to vacillate between the two options.
vacuous,having or showing a lack of thought,empty,mindless,thoughtful,intelligent,The vacuous expression on his face showed he wasn't listening.
vague,of uncertain or indefinite character,unclear,indefinite,clear,definite,She gave only a vague answer to the question.
vanadium,a chemical element,element,metal,compound,non-metal,Vanadium is used in making steel stronger.
vanguard,a group of people leading the way,forefront,pioneers,rear,followers,The scientists were at the vanguard of medical research.
vantage,a place or position affording a good view,viewpoint,position,blind spot,obscured view,"From this vantage point, we could see the entire valley."
vapid,offering nothing that is stimulating or challenging,dull,insipid,interesting,stimulating,The vapid conversation bored everyone at the party.
various,different from one another,different,diverse,same,uniform,She tried various methods to solve the problem.
venerate,to regard with great respect,revere,honour,despise,disrespect,The people venerate their ancestors.
vengeance,punishment inflicted in retaliation,revenge,retribution,forgiveness,mercy,He sought vengeance for the wrong done to his family.
venomous,capable of injecting venom,poisonous,toxic,harmless,safe,The venomous snake posed a danger to hikers.
ventriloquist,an entertainer who makes their voice appear to come from a dummy,puppeteer,entertainer,audience,listener,The ventriloquist made the dummy seem to speak.
veracity,conformity to facts,truth,accuracy,falsehood,inaccuracy,The veracity of his statement was questioned.
verbose,using more words than necessary,wordy,long-winded,concise,brief,His verbose explanation confused rather than helped.
verdant,green with grass or vegetation,green,lush,barren,brown,The verdant fields stretched for miles.
vernacular,the language or dialect spoken by ordinary people,dialect,colloquial,formal,literary,She wrote in the vernacular to reach more readers.
viable,capable of working successfully,feasible,workable,impossible,unworkable,The plan seemed viable after careful consideration.
vigilant,keeping careful watch for possible danger,watchful,alert,negligent,careless,The vigilant guard noticed the suspicious activity.
vigorous,"strong, healthy, and full of energy",energetic,robust,weak,feeble,The vigorous exercise left him feeling refreshed.
vigorously,in a way that involves physical strength or energy,energetically,forcefully,weakly,gently,She shook the bottle vigorously before opening it.
vigour,physical strength and good health,energy,strength,weakness,lethargy,"Despite his age, he showed remarkable vigour."
vilify,to speak or write about in an abusively disparaging manner,defame,slander,praise,compliment,The newspaper tried to vilify the politician.
vindicate,to clear of blame or suspicion,clear,exonerate,accuse,blame,The new evidence helped to vindicate the suspect.
vindictive,having or showing a strong desire for revenge,revengeful,spiteful,forgiving,merciful,His vindictive nature made him seek revenge.
